pool_name,inventory_channel,source_file
兴趣电商瑕疵仓-C类,不可用,映射.xlsx
韵达潍坊仓-云仓VMI-C类,不可用,映射.xlsx
自营磁灶仓-云仓VMI分配池,京自营,映射.xlsx
斯潘迪电商报废仓-D类,不可用,映射.xlsx
直营报废处理分配池,不可用,映射.xlsx
郑州长跑团购经销仓,经销,映射.xlsx
安踏电商京自营结算虚仓（团购）-正品,不可用,映射.xlsx
B2C退货冻结仓-H类,不可用,映射.xlsx
大货经销万千里虚仓,经销,映射.xlsx
晋江五里退货电商待返修虚仓,不可用,映射.xlsx
晋江五里退货瑕疵虚仓,不可用,映射.xlsx
晋江五里退货原残虚仓,不可用,映射.xlsx
晋江五里退货处理虚仓,不可用,映射.xlsx
晋江五里退货残次品虚仓,不可用,映射.xlsx
晋江五里退货报废虚仓,不可用,映射.xlsx
晋江五里退货暂存虚仓,不可用,映射.xlsx
晋江五里退货正品虚仓,不可用,映射.xlsx
outlets预售仓,天猫奥莱,映射.xlsx
顺丰泉州2仓-云仓VMI分配池,京自营,映射.xlsx
货品中转1号总仓_ANTA,不可用,映射.xlsx
货品中转1号总仓_ANTA_暂不销售,不可用,映射.xlsx
货品中转1号总仓_ANTA_平台认责,不可用,映射.xlsx
货品中转1号总仓_ANTA_发货差异调整,不可用,映射.xlsx
货品中转1号总仓_ANTA_品牌认责,不可用,映射.xlsx
万库浦东仓-云仓VMI分配池,京自营,映射.xlsx
物流成都仓-云仓VMI分配池,京自营,映射.xlsx
物流广州仓-云仓VMI分配池,京自营,映射.xlsx
物流郑州仓-云仓VMI分配池,京自营,映射.xlsx
韵达潍坊仓-云仓VMI分配池,京自营,映射.xlsx
直营电商原残区,不可用,映射.xlsx
安踏电商京自营结算虚仓（冠军）,不可用,映射.xlsx
安踏电商京自营结算虚仓（冠军）-暂存,不可用,映射.xlsx
安踏成人电商策略共享仓,共享,映射.xlsx
大货降解独享仓,唯品,映射.xlsx
安踏大货内购分配池,不可用,映射.xlsx
安踏大货内购瑕疵仓-C类,不可用,映射.xlsx
安踏电商京自营结算虚仓（奥莱）,不可用,映射.xlsx
安踏电商京自营结算虚仓（奥莱）-暂存,不可用,映射.xlsx
安踏电商京自营结算仓（奥莱）-发货差异调整库位,不可用,映射.xlsx
安踏电商京自营结算仓（奥莱）-平台认责,不可用,映射.xlsx
安踏电商京自营结算虚仓（旗舰）,不可用,映射.xlsx
安踏电商京自营结算虚仓（旗舰）-暂存,不可用,映射.xlsx
安踏电商京自营结算仓（旗舰）-发货差异调整库位,不可用,映射.xlsx
安踏电商京自营结算仓（旗舰）-平台认责库位,不可用,映射.xlsx
安踏电商京自营结算虚仓（旗舰）-品牌认责,不可用,映射.xlsx
集团安踏成人官网分配池,不可用,映射.xlsx
集团安踏成人官网B2C分配池,不可用,映射.xlsx
集团安踏成人官网分配池-C类,不可用,映射.xlsx
集团安踏成人官网报废仓-D类,不可用,映射.xlsx
安踏官网拍摄直播虚仓-A类,不可用,映射.xlsx
安踏电商经销报废仓-D类,不可用,映射.xlsx
安踏大货新品共享仓,共享,映射.xlsx
安踏大货社交拍摄分配池,不可用,映射.xlsx
anta奥特莱斯虚仓,天猫奥莱,映射.xlsx
安踏大货篮球旗舰店独享仓,潮流,映射.xlsx
电商总仓(成人)入库专用,不可用,映射.xlsx
得物独享仓,得物,映射.xlsx
抖音直营虚仓,兴趣,映射.xlsx
抖音直营虚仓-官方,兴趣,映射.xlsx
抖音直营虚仓-跑步,兴趣,映射.xlsx
电商渠道仓,不可用,映射.xlsx
天猫旗舰店独享仓,天猫旗舰,映射.xlsx
安踏大货共享仓,共享,映射.xlsx
京东旗舰店独享仓,京东旗舰,映射.xlsx
京东共享虚仓,京东旗舰,映射.xlsx
基地物流电商待返修分配池,不可用,映射.xlsx
京自营独享虚仓,京自营,映射.xlsx
女子旗舰独享仓,女子,映射.xlsx
大货视觉拍摄虚仓,不可用,映射.xlsx
京东拍摄虚仓,不可用,映射.xlsx
内容部专属拍摄虚仓,不可用,映射.xlsx
品类专卖拍摄虚仓,不可用,映射.xlsx
推广拍摄虚仓,不可用,映射.xlsx
品类旗舰共享仓,品类共享,映射.xlsx
唯品拍摄虚仓,不可用,映射.xlsx
运动装备虚仓,共享,映射.xlsx
运动装备虚仓_B2C退货,不可用,映射.xlsx
运动装备虚仓_报废,不可用,映射.xlsx
运动装备虚仓_电商瑕疵,不可用,映射.xlsx
运动装备虚仓_综合店,共享,映射.xlsx
货品中转2号总仓,不可用,映射.xlsx
电商总仓,共享,映射.xlsx
电商总仓残次品虚仓,不可用,映射.xlsx
电商总仓退货处理虚仓,不可用,映射.xlsx
电商总仓_瑕疵区,不可用,映射.xlsx
电商总仓_暂不销售区,不可用,映射.xlsx
官方商城虚仓,其他,映射.xlsx
传统电商冠军共享仓,共享,映射.xlsx
传统电商共享仓,共享,映射.xlsx
抖得拼-电商大货共享仓,共享,映射.xlsx
大货经销安之城虚仓,经销,映射.xlsx
大货经销噜啡虚仓,经销,映射.xlsx
大货经销锐诚虚仓,经销,映射.xlsx
大货经销蔚亚虚仓,经销,映射.xlsx
大货经销羽宙虚仓,经销,映射.xlsx
大货经销悠悠虚仓,经销,映射.xlsx
东南亚跨境电商,其他,映射.xlsx
电商运输理赔虚仓,不可用,映射.xlsx
电商直播样品二次使用仓分配池,不可用,映射.xlsx
电商直播样品二次使用仓分配池-C类,不可用,映射.xlsx
电商直播样品二次使用仓分配池-D类,不可用,映射.xlsx
电商直播样品二次使用仓分配池-T类,不可用,映射.xlsx
抖音线下直营共享虚仓,兴趣,映射.xlsx
抖音商城备用仓,兴趣,映射.xlsx
抖音直营虚仓-轻运动,兴趣,映射.xlsx
抖音直营虚仓-运动户外,兴趣,映射.xlsx
儿童-快手拍摄虚仓,不可用,映射.xlsx
分销赊销虚仓-专卖渠道独享仓,天猫专卖,映射.xlsx
分销赊销虚仓-京东大仓（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-上海天猫安驰（直营专卖）,上海专卖,映射.xlsx
分销赊销子虚仓-上海天猫虚仓,上海专卖,映射.xlsx
分销赊销虚仓-上海京东安驰（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-上海双11京东预售虚仓（直营专卖）,上海专卖,映射.xlsx
分销赊销子虚仓-上海天京仓,上海专卖,映射.xlsx
分销赊销虚仓-总仓（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-总仓（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组活动一仓（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-上海（直营专卖）,上海专卖,映射.xlsx
国际电商共享仓,不可用,映射.xlsx
京东VMI广州4虚仓,京东旗舰,映射.xlsx
JITX虚仓,唯品,映射.xlsx
直营JITX虚仓,唯品,映射.xlsx
京自营独享奥莱虚仓,京自营,映射.xlsx
快手共享直营虚仓,兴趣,映射.xlsx
品类旗舰大促锁库仓,品类共享,映射.xlsx
品类旗舰临时锁仓,品类共享,映射.xlsx
品牌降解电商待返修分配池,不可用,映射.xlsx
品牌降解瑕疵分配池,不可用,映射.xlsx
品牌降解独享仓-A类,唯品,映射.xlsx
品牌降解残次分配池,不可用,映射.xlsx
品牌降解共享仓-A类,唯品,映射.xlsx
品牌降解零散码-A类,不可用,映射.xlsx
品牌降解内购分配池-A类,不可用,映射.xlsx
品牌降解拼多多独享仓-A类,拼多多,映射.xlsx
品牌降解B2C分配池,不可用,映射.xlsx
品牌装备京自营虚仓,京自营,映射.xlsx
品牌装备京自营虚仓-发货差异调整区,不可用,映射.xlsx
品牌装备京自营虚仓-平台认责区,不可用,映射.xlsx
品牌装备京自营虚仓-暂不销售区,不可用,映射.xlsx
品牌装备京自营虚仓-暂存区,不可用,映射.xlsx
SS京东VMI结算虚仓-正品,不可用,映射.xlsx
安踏大货淘宝C店独享仓,C店,映射.xlsx
天猫滑板旗舰独享仓,休闲,映射.xlsx
天猫渠道组专用共享仓,共享,映射.xlsx
天猫旗舰店大促专用锁定仓,天猫旗舰,映射.xlsx
VMI杭州3仓虚仓,京东旗舰,映射.xlsx
VMI天津虚仓,京东旗舰,映射.xlsx
VMI武汉虚仓,京东旗舰,映射.xlsx
物流成都仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
物流成都仓-云仓VMI分配池-报废,不可用,映射.xlsx
物流成都仓-云仓VMI分配池-退货,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-电商待返修仓,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-报废,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-电商原残区,不可用,映射.xlsx
物流基地仓-云仓VMI分配池,京自营,映射.xlsx
物流基地仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-报废,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-残次,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-暂不销售区,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-退货,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-报废,不可用,映射.xlsx
微信视频号直营共享虚仓,兴趣,映射.xlsx
安踏跑步旗舰店独享仓,户外,映射.xlsx
小红书独享仓,兴趣,映射.xlsx
兴趣电商共享虚仓,兴趣,映射.xlsx
兴趣电商内购专用虚仓,兴趣,映射.xlsx
兴趣电商直营共享降解虚仓,共享,映射.xlsx
兴趣电商直营共享线下虚仓,兴趣,映射.xlsx
兴趣电商报废仓-D类,不可用,映射.xlsx
兴趣电商残次仓-F类,不可用,映射.xlsx
兴趣电商无吊牌仓-E类,不可用,映射.xlsx
兴趣电商冻结仓-H类,不可用,映射.xlsx
兴趣电商轻微瑕疵仓-B类,不可用,映射.xlsx
兴趣电商退货中转仓-T类,不可用,映射.xlsx
兴趣-抖音商城备用仓,兴趣,映射.xlsx
得物独享仓-唯品,上海专卖,映射.xlsx
晋江天仓第一总仓_暂存库位,不可用,映射.xlsx
临时预售锁定仓,天猫旗舰,映射.xlsx
NBA外部代销仓,其他,映射.xlsx
JIT总虚仓,唯品,映射.xlsx
运动装备虚仓_残次品,不可用,映射.xlsx
运动装备虚仓_独立店,不可用,映射.xlsx
运动装备虚仓_电商原残区,不可用,映射.xlsx
运动装备虚仓_唯品专用,不可用,映射.xlsx
晋江五里B2B总仓_退货处理,不可用,映射.xlsx
晋江五里B2B总仓_瑕疵区,不可用,映射.xlsx
电商总仓_废品区,不可用,映射.xlsx
品类旗舰预售虚仓,品类共享,映射.xlsx
第二事业部-直播共享仓-JITX2,兴趣,映射.xlsx
电商直播样品二次使用无吊牌仓-E类,不可用,映射.xlsx
电商直播样品二次使用仓分配池-F类,不可用,映射.xlsx
抖音直营虚仓-达人,兴趣,映射.xlsx
儿童-小红书拍摄虚仓,不可用,映射.xlsx
儿童-客服拍摄虚仓,不可用,映射.xlsx
分销赊销虚仓-2组安凯（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-1组北京一店（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-1组京东配件（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-1组四川安大（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-1组安建立（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-上海双11天猫安驰预售虚仓（直营专卖）,上海专卖,映射.xlsx
分销赊销子虚仓-上海京东虚仓,上海专卖,映射.xlsx
分销赊销虚仓-1组京东跨域（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-1组天雅（天猫专卖),天猫专卖,映射.xlsx
分销赊销虚仓-上海天猫康誉（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-京东共享仓（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-1组（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-1组深圳安大（天猫专卖）,天猫专卖,映射.xlsx
分销赊销总虚仓暂存,不可用,映射.xlsx
分销赊销虚仓-2组（天猫专卖）,天猫专卖,映射.xlsx
官方商城预售仓,其他,映射.xlsx
唯品JIT专用仓,唯品,映射.xlsx
集团品牌安踏官网无吊牌仓-E类,不可用,映射.xlsx
京自营独享预售虚仓,京自营,映射.xlsx
奥莱店共享仓-JITX2,,映射.xlsx
拼多多专卖直营虚仓,拼多多,映射.xlsx
品牌降解暂存分配池,不可用,映射.xlsx
品牌降解报废,不可用,映射.xlsx
品牌降解暂不销售区,不可用,映射.xlsx
爱库存虚仓-JITX2,不可用,映射.xlsx
顺丰泉州2仓-云仓VMI-残次,不可用,映射.xlsx
万库浦东仓-云仓VMI-C类,不可用,映射.xlsx
万库浦东仓-云仓VMI分配池-报废,不可用,映射.xlsx
万库浦东仓-云仓VMI分配池-残次,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-残次,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-退货,不可用,映射.xlsx
物流广州仓-云仓VMI分配池-电商废品区,不可用,映射.xlsx
物流基地仓-云仓VMI分配池-电商原残区,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-电商废品区,不可用,映射.xlsx
京东泉州唯品虚仓,不可用,映射.xlsx
兴趣电商不质检仓-X类,不可用,映射.xlsx
韵达潍坊仓-云仓VMI分配池-退货,不可用,映射.xlsx
自营磁灶仓-云仓VMI分配池-电商瑕疵区,不可用,映射.xlsx
安踏电商京自营结算虚仓（团购）-暂存,不可用,映射.xlsx
晋江五里B2C残次品虚仓,不可用,映射.xlsx
安踏电商京自营结算仓（冠军）-发货差异调整库位,不可用,映射.xlsx
安踏电商京自营结算虚仓（冠军）-品牌认责,不可用,映射.xlsx
安踏电商京自营结算仓（冠军）-平台认责,不可用,映射.xlsx
安踏电商京自营结算虚仓（奥莱）-品牌认责,不可用,映射.xlsx
上海天京得物虚仓,上海专卖,映射.xlsx
集团安踏成人官网残次仓-F类,不可用,映射.xlsx
集团安踏成人官网分配池_暂不销售区,不可用,映射.xlsx
京自营独享专卖虚仓,京自营,映射.xlsx
到货差异仓总虚仓,不可用,映射.xlsx
儿童-抖音达人,不可用,映射.xlsx
京东预售虚仓,京东旗舰,映射.xlsx
VMI武汉虚仓残次品,不可用,映射.xlsx
物流郑州仓-云仓VMI分配池-残次,不可用,映射.xlsx
鲁西南办事处分配池,货通,映射.xlsx
烟威办事处分配池,货通,映射.xlsx
兰州办事处分配池,货通,映射.xlsx
天津分配池,货通,映射.xlsx
南宁分配池,货通,映射.xlsx
桂北分配池,货通,映射.xlsx
桂南分配池,货通,映射.xlsx
贵州大货办事处分配池,货通,映射.xlsx
南昌办事处分配池,货通,映射.xlsx
