pool_name,inventory_channel,source_file
赣州办事处分配池,货通,映射.xlsx
江西儿童分配池,货通,映射.xlsx
云南外区分配池,货通,映射.xlsx
哈尔滨大货分配池,货通,映射.xlsx
南京大货分配池,货通,映射.xlsx
山西大货分配池,货通,映射.xlsx
山西儿童分配池,货通,映射.xlsx
河北自营分配池,货通,映射.xlsx
鲁南分配池,货通,映射.xlsx
山东奥莱分配池,货通,映射.xlsx
华中奥莱POS虚仓-安踏大货,货通,映射.xlsx
茂名分配池,货通,映射.xlsx
广州办事处2正品分配池,货通,映射.xlsx
江苏智中锐商贸有限公司分配池,货通,映射.xlsx
国旗赊销虚仓（新）,货通,映射.xlsx
运动装备成人直播分配池,货通,映射.xlsx
基地-自营品牌备货货通仓-A类,货通,映射.xlsx
深圳1直营POS虚仓-安踏大货,货通,映射.xlsx
温州直营POS虚仓_安踏大货,货通,映射.xlsx
西安直营POS虚仓_安踏大货,货通,映射.xlsx
岳阳直营POS虚仓-安踏大货,货通,映射.xlsx
珠海直营POS虚仓-安踏大货,货通,映射.xlsx
肇庆直营POS虚仓_安踏大货,货通,映射.xlsx
福州安鸿POS虚仓,货通,映射.xlsx
合肥共创POS虚仓,货通,映射.xlsx
合肥共创POS虚仓-加盟,货通,映射.xlsx
海口POS虚仓,货通,映射.xlsx
六安智伟POS虚仓,货通,映射.xlsx
内蒙撼动货通专用仓,货通,映射.xlsx
内蒙撼动POS虚仓-加盟,货通,映射.xlsx
宁夏POS虚仓,货通,映射.xlsx
汕头新锐POS虚仓,货通,映射.xlsx
宜昌POS虚仓,货通,映射.xlsx
杭州直营组织_OXO分配池,货通,映射.xlsx
宁波直营组织_OXO分配池,货通,映射.xlsx
沈阳直营组织分配池,货通,映射.xlsx
大连直营组织分配池,货通,映射.xlsx
泉州办事处POS分配池,货通,映射.xlsx
厦漳办事处POS分配池,货通,映射.xlsx
泉州儿童办事处POS分配池,货通,映射.xlsx
北京办事处分配池,货通,映射.xlsx
张家口办事处分配池,货通,映射.xlsx
郑州办事处分配池,货通,映射.xlsx
豫南办事处分配池,货通,映射.xlsx
豫北办事处分配池,货通,映射.xlsx
济南办事处分配池,货通,映射.xlsx
青岛办事处分配池,货通,映射.xlsx
广西儿童分配池,货通,映射.xlsx
保定鼎动POS虚仓,货通,映射.xlsx
成都货通A类虚仓,货通,映射.xlsx
重庆直营POS虚仓-安踏大货,货通,映射.xlsx
长沙直营POS虚仓-安踏大货,货通,映射.xlsx
滇东北直营POS虚仓-安踏大货,货通,映射.xlsx
东莞直营POS虚仓-安踏大货,货通,映射.xlsx
佛山直营POS虚仓_安踏大货,货通,映射.xlsx
广州儿童直营POS虚仓_安踏大货,货通,映射.xlsx
广州直营POS虚仓1,货通,映射.xlsx
广州直营POS虚仓_安踏大货,货通,映射.xlsx
杭州直营POS虚仓_安踏大货,货通,映射.xlsx
武汉直营POS虚仓-安踏大货,货通,映射.xlsx
惠州直营POS虚仓-安踏大货,货通,映射.xlsx
吉林直营POS虚仓-安踏大货,货通,映射.xlsx
昆明直营POS虚仓_安踏大货,货通,映射.xlsx
宁波直营POS虚仓_安踏大货,货通,映射.xlsx
四川大货奥莱直营POS虚仓_安踏大货,货通,映射.xlsx
四川大货川东北直营POS虚仓_安踏大货,货通,映射.xlsx
四川大货川西南直营POS虚仓_安踏大货,货通,映射.xlsx
四川大货川中直营POS虚仓_安踏大货,货通,映射.xlsx
上海直营POS虚仓_安踏大货,货通,映射.xlsx
滇南直营POS虚仓_安踏大货,货通,映射.xlsx
滇西直营POS虚仓_安踏大货,货通,映射.xlsx
四川POS虚仓,货通,映射.xlsx
云南安创POS虚仓,货通,映射.xlsx
深圳儿童直营POS虚仓-安踏大货,货通,映射.xlsx
贵州儿童办事处分配池,货通,映射.xlsx
大货线上共享平台,共享,映射.xlsx
运动装备-线下货通仓,货通,映射.xlsx
退残中转虚仓,不可用,映射.xlsx
NBA内部代销仓,不可用,映射.xlsx
拼多多直营虚仓,拼多多,映射.xlsx
分销赊销子虚仓-上海预售虚仓,上海专卖,映射.xlsx
上海直营POS退货虚仓,不可用,映射.xlsx
广州直营POS退货虚仓,不可用,映射.xlsx
深圳1直营POS退货虚仓,不可用,映射.xlsx
四川大货川中直营POS退货虚仓,不可用,映射.xlsx
杭州直营POS退货虚仓,不可用,映射.xlsx
西安直营POS退货虚仓,不可用,映射.xlsx
昆明直营POS退货虚仓,不可用,映射.xlsx
武汉直营POS退货虚仓,不可用,映射.xlsx
重庆直营POS退货虚仓,不可用,映射.xlsx
沈阳直营组织退货分配池,不可用,映射.xlsx
泉州办事处POS退货分配池,不可用,映射.xlsx
成都货通A类退货虚仓,不可用,映射.xlsx
泉州安踏独享仓-抖音退货,不可用,映射.xlsx
郑州办事处退货分配池,不可用,映射.xlsx
北京办事处退货分配池,不可用,映射.xlsx
济南办事处退货分配池,不可用,映射.xlsx
天津退货分配池,不可用,映射.xlsx
南昌办事处退货分配池,不可用,映射.xlsx
贵州大货办事处退货分配池,不可用,映射.xlsx
抖音直营虚仓-运动,兴趣,映射.xlsx
品牌冻结仓-H类,不可用,映射.xlsx
品牌回购瑕疵仓-C类,不可用,映射.xlsx
品牌回购报废仓-D类,不可用,映射.xlsx
退残质检仓-F类,不可用,映射.xlsx
四川分公司报废仓-D类,不可用,映射.xlsx
四川分公司瑕疵仓-C类,不可用,映射.xlsx
深圳分公司退货中转仓-T类,不可用,映射.xlsx
深圳分公司瑕疵仓-C类,不可用,映射.xlsx
广州自营分公司轻微瑕疵仓-B类,不可用,映射.xlsx
广州自营分公司报废仓-D类,不可用,映射.xlsx
广州自营分公司退货中转仓-T类,不可用,映射.xlsx
广州自营分公司瑕疵仓-C类,不可用,映射.xlsx
泉州分公司轻微瑕疵仓-B类,不可用,映射.xlsx
泉州分公司报废仓-D类,不可用,映射.xlsx
泉州分公司残次仓-F类,不可用,映射.xlsx
泉州分公司退货中转仓-T类,不可用,映射.xlsx
泉州分公司瑕疵仓-C类,不可用,映射.xlsx
河南分公司报废仓-D类,不可用,映射.xlsx
河南分公司不质检仓-X类,不可用,映射.xlsx
河南分公司退货中转仓-T类,不可用,映射.xlsx
河南分公司瑕疵仓-C类,不可用,映射.xlsx
江西分公司瑕疵仓,不可用,映射.xlsx
山东分公司残次仓,不可用,映射.xlsx
东北分公司残次仓,不可用,映射.xlsx
南京大货退货分配池,不可用,映射.xlsx
马来-SHOPEE-退货虚仓,不可用,映射.xlsx
北京分公司残次仓,不可用,映射.xlsx
北京抖音B2C退货分配池,不可用,映射.xlsx
东莞直营B2C退货虚仓,不可用,映射.xlsx
跨境电商拍摄虚仓-A类,不可用,映射.xlsx
浙江抖音退货仓,不可用,映射.xlsx
江苏抖音货通仓退货分配池,不可用,映射.xlsx
浙江分公司瑕疵品仓-C类,不可用,映射.xlsx
集团品牌成人抖下货通瑕疵仓-C类,不可用,映射.xlsx
北京分公司轻微瑕疵仓-B类,不可用,映射.xlsx
北京分公司瑕疵仓-C类,不可用,映射.xlsx
西北分公司瑕疵仓-C类,不可用,映射.xlsx
品牌抖下退货中转仓-T类,不可用,映射.xlsx
越南退货虚仓,不可用,映射.xlsx
马来西亚退货虚仓,不可用,映射.xlsx
安踏大货电商非A内购仓-C1类,不可用,映射.xlsx
B2C退货内购仓-C1类,不可用,映射.xlsx
品牌专用虚仓-非A内购（C1类）,不可用,映射.xlsx
品牌回购领用专享仓-A类,货通,映射.xlsx
运动装备虚仓_内购仓,货通,映射.xlsx
运动装备虚仓_儿童电商,货通,映射.xlsx
西安昊威POS虚仓,货通,映射.xlsx
深圳万木春POS虚仓,货通,映射.xlsx
湖南POS虚仓,货通,映射.xlsx
杭州POS虚仓,货通,映射.xlsx
重庆POS虚仓,货通,映射.xlsx
安踏儿童电商专用-共享仓,共享,映射.xlsx
华中新店型POS虚仓,货通,映射.xlsx
太原亿宏辉POS虚仓,货通,映射.xlsx
POS总虚仓,货通,映射.xlsx
石家庄金宝运达POS虚仓,货通,映射.xlsx
兰州POS虚仓,货通,映射.xlsx
南京撼动POS虚仓,货通,映射.xlsx
茂名搏锐POS虚仓,货通,映射.xlsx
肇庆直营POS虚仓,货通,映射.xlsx
深圳2直营POS虚仓,货通,映射.xlsx
惠州直营POS虚仓,货通,映射.xlsx
佛山直营POS虚仓,货通,映射.xlsx
衡阳办事处分配池,货通,映射.xlsx
哈尔滨和宏润贸易有限责任公司分配池,货通,映射.xlsx
哈尔滨加盟办事处分配池,货通,映射.xlsx
珠海直营POS虚仓-安踏儿童,货通,映射.xlsx
岳阳直营POS虚仓-安踏儿童,货通,映射.xlsx
西安直营POS虚仓_安踏儿童,货通,映射.xlsx
温州直营POS虚仓_安踏儿童,货通,映射.xlsx
深圳1直营POS虚仓-安踏儿童,货通,映射.xlsx
滇西直营POS虚仓_安踏儿童,货通,映射.xlsx
滇南直营POS虚仓_安踏儿童,货通,映射.xlsx
上海直营POS虚仓_安踏儿童,货通,映射.xlsx
四川儿童外区直营POS虚仓_安踏儿童,货通,映射.xlsx
四川儿童市区直营POS虚仓_安踏儿童,货通,映射.xlsx
四川儿童外区直营POS虚仓_安踏大货,货通,映射.xlsx
四川儿童外区直营POS虚仓,货通,映射.xlsx
四川儿童市区直营POS虚仓_安踏大货,货通,映射.xlsx
四川儿童市区直营POS虚仓,货通,映射.xlsx
四川大货川中直营POS虚仓_安踏儿童,货通,映射.xlsx
四川大货川西南直营POS虚仓_安踏儿童,货通,映射.xlsx
四川大货川东北直营POS虚仓_安踏儿童,货通,映射.xlsx
四川大货奥莱直营POS虚仓_安踏儿童,货通,映射.xlsx
南京直营POS虚仓-安踏儿童,货通,映射.xlsx
宁波直营POS虚仓_安踏儿童,货通,映射.xlsx
昆明直营POS虚仓_安踏儿童,货通,映射.xlsx
吉林直营POS虚仓-安踏儿童,货通,映射.xlsx
武汉直营POS虚仓-安踏儿童,货通,映射.xlsx
杭州直营POS虚仓_安踏儿童,货通,映射.xlsx
广州直营POS虚仓_安踏儿童,货通,映射.xlsx
东莞直营POS虚仓-安踏儿童,货通,映射.xlsx
东莞儿童直营POS虚仓-安踏儿童,货通,映射.xlsx
东莞儿童直营POS虚仓-安踏大货,货通,映射.xlsx
东莞儿童直营POS虚仓,货通,映射.xlsx
滇东北直营POS虚仓-安踏儿童,货通,映射.xlsx
长沙直营POS虚仓-安踏儿童,货通,映射.xlsx
重庆直营POS虚仓-安踏儿童,货通,映射.xlsx
安踏大货儿童独享仓,共享,映射.xlsx
安踏儿童全渠道共享仓,共享,映射.xlsx
郑州品牌货通虚仓,货通,映射.xlsx
新疆昊百POS虚仓,货通,映射.xlsx
天津POS虚仓,货通,映射.xlsx
沈阳秉诚POS虚仓,货通,映射.xlsx
泉州斌辉POS虚仓,货通,映射.xlsx
POS江西省总虚仓,货通,映射.xlsx
宁波鼎动POS,货通,映射.xlsx
辽宁晋发商贸POS虚仓,货通,映射.xlsx
济南安创POS虚仓,货通,映射.xlsx
广西舒博特POS虚仓,货通,映射.xlsx
珠海直营POS虚仓,货通,映射.xlsx
岳阳直营POS虚仓,货通,映射.xlsx
西安直营POS虚仓,货通,映射.xlsx
温州直营POS虚仓,货通,映射.xlsx
深圳1直营POS虚仓,货通,映射.xlsx
滇西直营POS虚仓,货通,映射.xlsx
滇南直营POS虚仓,货通,映射.xlsx
上海直营POS虚仓,货通,映射.xlsx
四川大货川中直营POS虚仓,货通,映射.xlsx
四川大货川西南直营POS虚仓,货通,映射.xlsx
四川大货奥莱直营POS虚仓,货通,映射.xlsx
四川大货川东北直营POS虚仓,货通,映射.xlsx
南京直营POS虚仓,货通,映射.xlsx
南京直营POS虚仓-安踏大货,货通,映射.xlsx
宁波直营POS虚仓,货通,映射.xlsx
昆明直营POS虚仓,货通,映射.xlsx
吉林直营POS虚仓,货通,映射.xlsx
武汉直营POS虚仓,货通,映射.xlsx
杭州直营POS虚仓,货通,映射.xlsx
广州直营POS虚仓,货通,映射.xlsx
广州儿童直营POS虚仓_安踏儿童,货通,映射.xlsx
东莞直营POS虚仓,货通,映射.xlsx
滇东北直营POS虚仓,货通,映射.xlsx
长沙直营POS虚仓,货通,映射.xlsx
重庆直营POS虚仓,货通,映射.xlsx
北京科创POS虚仓,货通,映射.xlsx
北京吉元POS虚仓,货通,映射.xlsx
品牌回购货通仓-A类,货通,映射.xlsx
哈尔滨儿童分配池,货通,映射.xlsx
哈尔滨办事处分配池,货通,映射.xlsx
乌鲁木齐办事处分配池,货通,映射.xlsx
深圳万木春大仓POS虚仓,货通,映射.xlsx
深圳万木春门店POS虚仓,货通,映射.xlsx
分销赊销虚仓-1组活动三仓（天猫专卖）,天猫专卖,映射.xlsx
VMI天津POP虚仓,京东旗舰,映射.xlsx
VMI广州POP虚仓,京东旗舰,映射.xlsx
分销赊销虚仓-上海京东思捷（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-专卖渠道独享仓（大促锁定仓）,天猫专卖,映射.xlsx
抖音直营虚仓-男装,兴趣,映射.xlsx
VMI杭州POP虚仓,京东旗舰,映射.xlsx
分销赊销虚仓-上海天猫实觅（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-上海天猫宏然（直营专卖）,上海专卖,映射.xlsx
SS京东VMI结算虚仓-暂不销售区,不可用,映射.xlsx
VMI武汉POP虚仓,京东旗舰,映射.xlsx
分销赊销虚仓-2组京东安发（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-2组安鸿（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组京东北京二店（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-上海京东新凝动（直营专卖）,上海专卖,映射.xlsx
分销赊销虚仓-上海京东安踏奥莱旗舰店（直营专卖),上海专卖,映射.xlsx
分销赊销虚仓-1组京东篮球（京东专卖）,京东专卖,映射.xlsx
分销赊销虚仓-2组驰尚（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组安发（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组安鸿博（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-2组京东安鸿博（京东专卖）,京东专卖,映射.xlsx
万库浦东仓-云仓VMI分配池-退货,不可用,映射.xlsx
安踏运动装备京自营实仓-品牌认责,不可用,映射.xlsx
分销赊销虚仓-1组勇跃（天猫专卖）,天猫专卖,映射.xlsx
分销赊销虚仓-1组京东安建立（京东专卖）,京东专卖,映射.xlsx
物流郑州仓-云仓VMI分配池-退货,不可用,映射.xlsx
韵达潍坊仓云仓VMI冻结仓-H类,不可用,映射.xlsx
