store_name,sales_channel,source_file
天猫-安踏官方网店,天猫旗舰,映射.xlsx
拼多多-安踏旗舰店,拼多多,映射.xlsx
淘宝-安踏品牌网店,C店,映射.xlsx
唯品会-Anta,唯品,映射.xlsx
京东-安踏官方旗舰店,京东旗舰,映射.xlsx
拼多多-郑州安发安踏锋锐大货二店,拼多多,映射.xlsx
安踏会员,官网,映射.xlsx
微信视频号-安踏总部商城,兴趣,映射.xlsx
抖音-安踏运动旗舰店,兴趣,映射.xlsx
天猫-安踏女子运动旗舰店,女子,映射.xlsx
天猫-anta安踏实觅专卖店（新）,上海专卖,映射.xlsx
天猫-anta安踏安鸿专卖店,天猫专卖,映射.xlsx
天猫-anta官方outlets店,天猫奥莱,映射.xlsx
抖音-安踏官方旗舰店,兴趣,映射.xlsx
抖音-安踏运动鞋服旗舰店,兴趣,映射.xlsx
天猫-安踏勇跃专卖店,天猫专卖,映射.xlsx
京东-安踏御英专卖店,上海专卖,映射.xlsx
天猫-anta安踏安驰专卖店,上海专卖,映射.xlsx
天猫-anta安踏北京专卖店,天猫专卖,映射.xlsx
天猫-anta安踏安大专卖店,天猫专卖,映射.xlsx
天猫-anta安踏跨域专卖店,天猫专卖,映射.xlsx
拼多多-郑州安发安踏锋锐专卖店,拼多多,映射.xlsx
拼多多-上海御英安踏专卖店,拼多多,映射.xlsx
拼多多-安踏运动旗舰店,拼多多,映射.xlsx
拼多多-安踏男装官方旗舰店,拼多多,映射.xlsx
拼多多-上海安驰安踏专卖店,拼多多,映射.xlsx
云仓VMI-安踏京东自营官方旗舰店,京自营,映射.xlsx
云仓VMI-安踏运动鞋服京东自营旗舰店,京自营,映射.xlsx
云仓VMI-安踏户外鞋服京东自营旗舰店,京自营,映射.xlsx
云仓VMI-安踏奥特莱斯京东自营旗舰店,京自营,映射.xlsx
云仓VMI-安踏冠军京东自营旗舰店,京自营,映射.xlsx
京东-ANTAsuperstore旗舰店,其他,映射.xlsx
快手-安踏官方旗舰店,兴趣,映射.xlsx
安踏抖音旗舰店,兴趣,映射.xlsx
微信视频号-安踏运动服饰旗舰店,兴趣,映射.xlsx
抖音-安踏健身旗舰店,兴趣,映射.xlsx
抖音-安踏鞋服奥莱旗舰店,兴趣,映射.xlsx
小红书-安踏品牌旗舰店,官网,映射.xlsx
视频号-安踏北京王府井店,兴趣,映射.xlsx
天猫-安踏运动装备旗舰店,其他,映射.xlsx
拼多多-安踏篮球旗舰店,拼多多,映射.xlsx
京东-安踏吉元盛宝专卖店,京东专卖,映射.xlsx
得物-安踏直发店,得物,映射.xlsx
拼多多-安踏安之汀专卖店,拼多多,映射.xlsx
京东-安踏自营团购店,京自营,映射.xlsx
拼多多-安踏安合力专卖店,拼多多,映射.xlsx
京东-安踏安建阳专卖店,京东专卖,映射.xlsx
天猫-ANTA SUPERSTORE旗舰店,其他,映射.xlsx
抖音-安踏冠军官方旗舰店,兴趣,映射.xlsx
拼多多-安踏男鞋官方旗舰店,拼多多,映射.xlsx
微信视频号-安踏女子运动旗舰店,兴趣,映射.xlsx
抖音-anta安踏安之业专卖店,兴趣,映射.xlsx
京东-安踏勇跃专卖店,京东专卖,映射.xlsx
京东-安踏冠军旗舰店,京东旗舰,映射.xlsx
天猫-anta安踏康誉专卖店,上海专卖,映射.xlsx
天猫-安踏跑步旗舰店,户外,映射.xlsx
抖音-安踏运动户外旗舰店,兴趣,映射.xlsx
抖音-anta安踏安之心专卖店,兴趣,映射.xlsx
抖音-安踏奥莱旗舰店,兴趣,映射.xlsx
天猫-anta安凯专卖店,天猫专卖,映射.xlsx
京东-安踏安发专卖店,京东专卖,映射.xlsx
天猫-anta安踏宏然专卖店,上海专卖,映射.xlsx
京东-安踏思捷悦合专卖店,上海专卖,映射.xlsx
快手-安踏体育旗舰店,兴趣,映射.xlsx
微信视频号-安踏旗舰店,兴趣,映射.xlsx
天猫-安踏滑板旗舰店,休闲,映射.xlsx
京东-安踏安鸿专卖店,京东专卖,映射.xlsx
快手-安踏运动旗舰店,兴趣,映射.xlsx
天猫-安踏安大专卖店,天猫专卖,映射.xlsx
淘宝-安踏品牌直营网店,C店,映射.xlsx
京东-安踏安鸿博专卖店,京东专卖,映射.xlsx
天猫-安踏体育篮球旗舰店,潮流,映射.xlsx
抖音-安踏体育奥莱旗舰店,兴趣,映射.xlsx
天猫-anta安踏安发专卖店,天猫专卖,映射.xlsx
京东-安踏ANTA超越者专卖店,京东专卖,映射.xlsx
微信视频号-安踏体育运动旗舰店,兴趣,映射.xlsx
安踏会员-视频号小店,官网,映射.xlsx
抖音-安踏跑步旗舰店,兴趣,映射.xlsx
京东-安踏锋锐专卖店,京东专卖,映射.xlsx
京东-安踏跨域专卖店,京东专卖,映射.xlsx
京东-安踏安建立专卖店,京东专卖,映射.xlsx
京东-安踏安驰专卖店,上海专卖,映射.xlsx
京东-安踏新凝动专卖店,上海专卖,映射.xlsx
天猫-anta安踏安鸿博专卖店,天猫专卖,映射.xlsx
天猫-anta安踏驰尚专卖店,天猫专卖,映射.xlsx
京东-安踏宝通乐麦专卖店,京东专卖,映射.xlsx
天猫-anta安踏天雅专卖店,天猫专卖,映射.xlsx
拼多多-安踏安之荣专卖店,拼多多,映射.xlsx
天猫-anta安踏安建立专卖店,奥莱安建立,映射.xlsx
京东-ANTA安踏专卖店,京东专卖,映射.xlsx
京东-安踏ANTA专卖店,京东专卖,映射.xlsx
拼多多-ANTA安踏运动装备旗舰店,拼多多,映射.xlsx
快手-安踏跑步旗舰店,兴趣,映射.xlsx
拼多多-安踏安之昌专卖店,拼多多,映射.xlsx
淘宝-安踏品牌生活网店,C店,映射.xlsx
猫超-安踏官方网店,天猫专卖,映射.xlsx
小红书安踏旗舰店,兴趣,映射.xlsx
京东-ANTA安踏安大专卖店,京东专卖,映射.xlsx
天猫-安踏锐动专卖店（新）,天猫专卖,映射.xlsx
闲鱼-安踏官方奥莱店,C店,映射.xlsx
淘宝-安踏品牌潮流网店,C店,映射.xlsx
抖音-安踏运动装备旗舰店,兴趣,映射.xlsx
快手-安踏ANTA旗舰店,兴趣,映射.xlsx
得物-安踏直发店2店,得物,映射.xlsx
快手-安踏休闲旗舰店,兴趣,映射.xlsx
抖音-超级安踏官方旗舰店(电商),兴趣,映射.xlsx
抖音-安踏轻运动旗舰店,兴趣,映射.xlsx
抖音-anta安踏安之途专卖店,兴趣,映射.xlsx
得物直发-安踏运动旗舰店,得物,映射.xlsx
京东-安踏运动装备旗舰店,京东专卖,映射.xlsx
安踏大货零元出库,其他,映射.xlsx
抖音-安踏安之品专卖店,兴趣,映射.xlsx
抖音-安踏翔驰运动鞋服专卖店,兴趣,映射.xlsx
抖音-安踏湖南专卖店,兴趣,映射.xlsx
抖音-安踏山东专卖店,兴趣,映射.xlsx
抖音-安踏泉州专卖2店,兴趣,映射.xlsx
抖音-安踏泉州专卖店,兴趣,映射.xlsx
抖音-安踏广州专卖店,兴趣,映射.xlsx
抖音-安踏母婴旗舰店,兴趣,映射.xlsx
抖音-安踏PALACE广州专卖店,兴趣,映射.xlsx
抖音-上海南东幻巷SV,兴趣,映射.xlsx
抖音-安踏北京旗舰店,兴趣,映射.xlsx
抖音-安踏ARENA深圳专卖店,兴趣,映射.xlsx
抖音-安踏店播专卖店,兴趣,映射.xlsx
抖音-安踏成都专卖店,兴趣,映射.xlsx
抖音-安踏上海专卖店,兴趣,映射.xlsx
抖音-安踏服饰配件旗舰店,兴趣,映射.xlsx
抖音-安踏杭州专卖店,兴趣,映射.xlsx
郑州大货抖音店,兴趣,映射.xlsx
抖音-安踏深圳专卖店,兴趣,映射.xlsx
抖音-安踏北京专卖店,兴趣,映射.xlsx
抖音-安踏西安专卖店,兴趣,映射.xlsx
抖音-安踏北京首体专卖店,兴趣,映射.xlsx
抖音-安踏北京专卖2店,兴趣,映射.xlsx
抖音-安踏翔动运动鞋服专卖店,兴趣,映射.xlsx
抖音-安踏男鞋旗舰店,兴趣,映射.xlsx
抖音-antakids母婴旗舰店,兴趣,映射.xlsx
抖音-安踏沈阳专卖,兴趣,映射.xlsx
抖音-超级安踏官方旗舰店,兴趣,映射.xlsx
抖音-ANTA翔动运动专卖店,兴趣,映射.xlsx
抖音-安踏中街概念运动鞋服专卖店,兴趣,映射.xlsx
抖音-安踏家居内衣专卖店,兴趣,映射.xlsx
抖音-安踏武汉专卖店,兴趣,映射.xlsx
抖音-安踏服饰时尚专卖店,兴趣,映射.xlsx
抖音-安踏ANTA晋博运动专卖店,兴趣,映射.xlsx
抖音-安踏大宁专卖店,兴趣,映射.xlsx
抖音-安踏贵州中华一店播专卖店,兴趣,映射.xlsx
抖音-安踏湖北专卖店,兴趣,映射.xlsx
抖音-安踏武汉形象专卖店,兴趣,映射.xlsx
抖音-安踏濮阳县解放综合店,兴趣,映射.xlsx
抖音-安踏武汉荟聚专卖店,兴趣,映射.xlsx
抖音-安踏济南万象城专卖店,兴趣,映射.xlsx
抖音-安踏泉州专卖3店,兴趣,映射.xlsx
抖音-安踏长春专卖店,兴趣,映射.xlsx
抖音-安踏枣庄滕州万达广场专卖店,兴趣,映射.xlsx
抖音-安踏东莞莞城西正路专卖店,兴趣,映射.xlsx
抖音-安踏安邺专卖店,兴趣,映射.xlsx
抖音-安踏深圳龙华壹方天地专卖店,兴趣,映射.xlsx
抖音-安踏新乡宝龙店,兴趣,映射.xlsx
抖音-安踏经开万达专卖店,兴趣,映射.xlsx
抖音-安踏运动生活专卖店,兴趣,映射.xlsx
抖音-安踏少年官方旗舰店,兴趣,映射.xlsx
抖音-安踏武汉司门口专卖店,兴趣,映射.xlsx
抖音-安踏菏泽佳和城PALACE专卖店,兴趣,映射.xlsx
抖音-安踏深圳宝安区大仟里专卖店,兴趣,映射.xlsx
抖音-安踏长沙黄兴路专卖店,兴趣,映射.xlsx
抖音-安踏惠州惠城中山西路专卖店,兴趣,映射.xlsx
抖音-安踏楚河汉街专卖店,兴趣,映射.xlsx
抖音-安踏南阳师院工厂店,兴趣,映射.xlsx
抖音-安踏北京首体品牌综合店,兴趣,映射.xlsx
抖音-安踏五角场专卖店,兴趣,映射.xlsx
抖音-安踏深圳龙岗区大运天地专卖店,兴趣,映射.xlsx
抖音-安踏中山孙文西路专卖店,兴趣,映射.xlsx
抖音-安踏长沙万家丽专卖店,兴趣,映射.xlsx
抖音-安踏温州五马专卖店,兴趣,映射.xlsx
抖音-安踏奥莱旗舰店DP,兴趣,映射.xlsx
抖音-安踏荆州吾悦专卖店,兴趣,映射.xlsx
抖音-安踏济南恒隆广场专卖店,兴趣,映射.xlsx
抖音-安踏深圳龙华ARENA专卖店,兴趣,映射.xlsx
抖音-安踏漯河交通路综合店,兴趣,映射.xlsx
抖音-安踏茂名茂南东荟城专卖店,兴趣,映射.xlsx
抖音-安踏重庆抖音专卖店,兴趣,映射.xlsx
抖音-anta安踏安之吉专卖店,兴趣,映射.xlsx
抖音-安踏哈尔滨中央大街PALACE店,兴趣,映射.xlsx
抖音-安踏广州正佳广场专卖店,兴趣,映射.xlsx
抖音-安踏大连罗斯福专卖店,兴趣,映射.xlsx
抖音-安踏佛山禅城祖庙兴隆专卖店,兴趣,映射.xlsx
抖音-安踏泰安万达广场专卖店,兴趣,映射.xlsx
抖音-安踏威海威高广场PALACE专卖店,兴趣,映射.xlsx
抖音-安踏湖里万达专卖店,兴趣,映射.xlsx
抖音-安踏深圳罗湖南海中心专卖店,兴趣,映射.xlsx
抖音-安踏西安宜家荟聚专卖店,兴趣,映射.xlsx
抖音-安踏成都锦江区春熙北段专卖店,兴趣,映射.xlsx
抖音-安踏西安莲湖区太奥广场专卖店,兴趣,映射.xlsx
抖音-安踏潍坊泰华城专卖店,兴趣,映射.xlsx
抖音-安踏鞍山景子街专卖店,兴趣,映射.xlsx
抖音-安踏北京王府井丹耀店,兴趣,映射.xlsx
抖音-安踏贵州花果园店播专卖店,兴趣,映射.xlsx
抖音-安踏贵州世纪金源店播专卖店,兴趣,映射.xlsx
抖音-安踏余姚万达专卖店,兴趣,映射.xlsx
抖音-安踏同安专卖店,兴趣,映射.xlsx
抖音-安踏kids运动装备旗舰店,兴趣,映射.xlsx
抖音-安踏广州海珠万国广场专卖店,兴趣,映射.xlsx
抖音-安踏北京王府井步行街PALACE店,兴趣,映射.xlsx
抖音-anta安踏安之泽专卖店,兴趣,映射.xlsx
抖音-安踏信阳胜利路综合店,兴趣,映射.xlsx
抖音-安踏北京华熙LIVE店,兴趣,映射.xlsx
抖音-安踏北京荟聚PALACE店,兴趣,映射.xlsx
抖音-安踏重庆渝中区龙湖时代天街C馆专卖店,兴趣,映射.xlsx
抖音-安踏沈阳鞋服抖音专卖店,兴趣,映射.xlsx
抖音-安踏汉中汉台区吾悦专卖店,兴趣,映射.xlsx
抖音-安踏润联专卖店,兴趣,映射.xlsx
抖音-安踏南安中骏专卖店,兴趣,映射.xlsx
抖音-安踏吉林昌邑区专卖店,兴趣,映射.xlsx
抖音-安踏西安雁塔区金辉环球广场专卖店,兴趣,映射.xlsx
抖音-安踏晋江专卖店,兴趣,映射.xlsx
快手-安踏山东专卖店,兴趣,映射.xlsx
快手-安踏成都专卖店,兴趣,映射.xlsx
快手-安踏ANTA安竞专卖店,兴趣,映射.xlsx
微信视频号-安踏跑步旗舰店,兴趣,映射.xlsx
得物直发-安踏上海得物店,得物,映射.xlsx
快手-安踏泉州奥莱专卖店,兴趣,映射.xlsx
得物直发-安踏深圳专卖店,得物,映射.xlsx
得物直发-安踏川渝专卖店,得物,映射.xlsx
得物直发-安踏北京专卖店,得物,映射.xlsx
快手-安踏安速专卖店,兴趣,映射.xlsx
微信视频号-北京运动户外旗舰店,兴趣,映射.xlsx
得物直发-安踏山东专卖店,得物,映射.xlsx
得物直发-得物泉州专卖店,得物,映射.xlsx
快手-安踏广州专卖店,兴趣,映射.xlsx
快手-安踏山东专卖店2店,兴趣,映射.xlsx
得物直发-安踏广州专卖店,得物,映射.xlsx
快手-安踏安竞专卖店,兴趣,映射.xlsx
安踏广州视频号小店,兴趣,映射.xlsx
安踏北京视频号小店,兴趣,映射.xlsx
快手-安踏ANTA运动鞋服旗舰店,兴趣,映射.xlsx
安踏山东视频号小店,兴趣,映射.xlsx
安踏浙江视频号小店,兴趣,映射.xlsx
得物直发-安踏江西专卖店,兴趣,映射.xlsx
快手-安踏健身训练旗舰店,兴趣,映射.xlsx
得物直发-安踏江苏专卖店,兴趣,映射.xlsx
得物直发-安踏云南专卖店,兴趣,映射.xlsx
快手-安踏运动鞋服专卖店,兴趣,映射.xlsx
微信视频号-安踏川渝专卖店,兴趣,映射.xlsx
淘宝-ANTA安踏品牌店,C店,映射.xlsx
淘宝-ANTA安踏网店,C店,映射.xlsx
快手-安踏晋博专卖店,兴趣,映射.xlsx
抖音-anta安踏安之汀专卖店,兴趣,映射.xlsx
抖音-安踏服饰轻运动专卖店,兴趣,映射.xlsx
抖音-anta安踏安之博专卖店,兴趣,映射.xlsx
得物-安踏旗舰店,得物,映射.xlsx
抖音-anta安踏安之强专卖店,兴趣,映射.xlsx
抖音-anta安踏安之沪专卖店,兴趣,映射.xlsx
抖音-anta安踏安之奥专卖店,兴趣,映射.xlsx
抖音-安踏服饰运动专卖店,兴趣,映射.xlsx
抖音-anta安踏安之友专卖店,兴趣,映射.xlsx
抖音-anta安踏安之书专卖店,兴趣,映射.xlsx
抖音-安踏竞进专卖店,兴趣,映射.xlsx
抖音-anta安踏安之荣专卖店,兴趣,映射.xlsx
抖音-安踏服饰户外专卖店,兴趣,映射.xlsx
抖音-安踏安鲁运动鞋服专卖店,兴趣,映射.xlsx
抖音-anta安踏安之广专卖店,兴趣,映射.xlsx
抖音-anta安踏安之喜专卖店,兴趣,映射.xlsx
抖音-安踏体育运动装备专卖店,兴趣,映射.xlsx
抖音-anta安踏安之鸿专卖店,兴趣,映射.xlsx
抖音-anta安踏安之鹏专卖店,兴趣,映射.xlsx
快手-安踏翔驰运动服饰专卖店,兴趣,映射.xlsx
快手-安踏运动装备旗舰店,兴趣,映射.xlsx
微信视频号-安踏男装旗舰店,兴趣,映射.xlsx
京东-安踏自营旗舰店（商仓）,京自营,映射.xlsx
拼多多-安踏安之财专卖店,拼多多,映射.xlsx
快手-安踏女士运动旗舰店,兴趣,映射.xlsx
官方商城-安踏官方商城奥莱小程序,官网,映射.xlsx
快手-安踏ANTA男士户外旗舰店,兴趣,映射.xlsx
京东-安踏羽毛球官方旗舰店,京东专卖,映射.xlsx
天猫-安踏羽毛球旗舰店,天猫羽球,映射.xlsx
云仓VMI-超级安踏京东自营旗舰店,京自营,映射.xlsx
新安踏官方商城,官网,映射.xlsx
微信视频号-ANTA安踏商城,兴趣,映射.xlsx
云仓VMI-安踏企业购京东自营旗舰店,京自营,映射.xlsx
快手-安踏ANTA运动服饰旗舰店,兴趣,映射.xlsx
得物直发-安踏东北专卖店,得物,映射.xlsx
快手-安踏上海专卖店,兴趣,映射.xlsx
快手-安踏服饰专卖店,兴趣,映射.xlsx
快手-安踏广州鞋服专卖店,兴趣,映射.xlsx
快手-安踏河南专卖店,兴趣,映射.xlsx
得物直发-安踏广东专卖店,得物,映射.xlsx
得物直发-安踏杭州专卖店,得物,映射.xlsx
得物直发-安踏华中专卖店,得物,映射.xlsx
抖音-安踏之家专卖店,兴趣,映射.xlsx
得物直发-安踏河南专卖店,得物,映射.xlsx
安踏大货唯品会,唯品,映射.xlsx
抖音-安踏青岛乐客城SS店,兴趣,映射.xlsx
抖音-安踏华中店播专卖店,兴趣,映射.xlsx
抖音-安踏杭州湖滨专卖店,兴趣,映射.xlsx
抖音-安踏沈阳中街冠军旗舰店,兴趣,映射.xlsx
抖音-安踏兰州城关区张掖路专卖店,兴趣,映射.xlsx
微信视频号-安踏安速运动商城,兴趣,映射.xlsx
爱库存-安踏ANTA运动户外官方旗舰店,兴趣,映射.xlsx
安踏儿童官方商城小程序,删除,映射.xlsx
抖音_安踏儿童浦西专卖店,删除,映射.xlsx
天猫-安踏童装outlets店,删除,映射.xlsx
快手-安踏儿童奥莱旗舰店,删除,映射.xlsx
拼多多-安踏母婴旗舰店,删除,映射.xlsx
抖音-安踏儿童体育旗舰店,删除,映射.xlsx
京东-安踏儿童安永专卖店,删除,映射.xlsx
快手-安踏儿童官方店,删除,映射.xlsx
天猫-anta安踏童装旗舰店,删除,映射.xlsx
抖音-安踏ANTA儿童旗舰店,删除,映射.xlsx
淘宝-安踏儿童企业店,删除,映射.xlsx
快手-安踏儿童快手小店,删除,映射.xlsx
北京京东世纪贸易有限公司-安踏成人,京自营,映射.xlsx
北京京东世纪贸易有限公司-装备,京自营,映射.xlsx
北京京东世纪贸易有限公司-运动鞋服店,京自营,映射.xlsx
北京京东世纪贸易有限公司-户外鞋服店,京自营,映射.xlsx
北京京东世纪贸易有限公司—安踏电子商务,京自营,映射.xlsx
北京京东世纪贸易有限公司-冠军店,京自营,映射.xlsx
北京京东世纪贸易有限公司-奥莱店,京自营,映射.xlsx
拼多多-ANTA运动装备旗舰店,拼多多,映射.xlsx
拼多多-深圳跨域安踏童装粤鸿飞店,删除,映射.xlsx
天猫-antakids旗舰店,删除,映射.xlsx
快手-anta kids童装旗舰店,删除,映射.xlsx
抖音-安踏儿童母婴旗舰店,删除,映射.xlsx
京东-安踏童装旗舰店,删除,映射.xlsx
抖音-安踏儿童崇山东路鞋服专卖店,删除,映射.xlsx
抖音-安踏儿童品牌旗舰店,删除,映射.xlsx
拼多多-安踏童鞋官方旗舰店,删除,映射.xlsx
淘宝-安踏儿童直营二店,删除,映射.xlsx
微信视频号-安踏儿童官方旗舰店,删除,映射.xlsx
微信视频号-安踏运动商城,兴趣,映射.xlsx
抖音-安踏儿童服饰旗舰店,删除,映射.xlsx
抖音-安踏童装童鞋旗舰店,删除,映射.xlsx
抖音-安踏儿童官方奥莱旗舰店,删除,映射.xlsx
抖音-安踏儿童运动装备旗舰店,删除,映射.xlsx
微信视频号-antakids总部商城,删除,映射.xlsx
北京京东世纪贸易有限公司-超级安踏京东自营旗舰店,京自营,映射.xlsx
京东-安踏竞技场旗舰店,京东旗舰,映射.xlsx
抖音-安踏北京户外运动专卖店,兴趣,映射.xlsx
抖音-超级安踏平顶山SS店,兴趣,映射.xlsx
快手-安踏户外鞋服旗舰店,兴趣,映射.xlsx
视频号-安踏北京品牌综合店,兴趣,映射.xlsx
快手-安踏北京内着专卖店,兴趣,映射.xlsx
抖音-安踏跑步专卖店,兴趣,映射.xlsx
微信视频号-安踏生活商城,兴趣,映射.xlsx
快手-安踏泉州服饰专卖店,兴趣,映射.xlsx
快手-安踏户外旗舰店,兴趣,映射.xlsx
抖音-安踏西安未央区大融城专卖店,兴趣,映射.xlsx
抖音-安踏安速运动鞋服专卖店,兴趣,映射.xlsx
抖音-安踏箱包专卖店,兴趣,映射.xlsx
抖音-安踏儿童北京专卖店-NEW,兴趣,映射.xlsx
微信视频号-安踏体育商城,兴趣,映射.xlsx
快手-安踏安之鸿专卖店,兴趣,映射.xlsx
抖音-安踏儿童运动户外旗舰店,兴趣,映射.xlsx
抖音-安踏儿童婴童生活旗舰店,兴趣,映射.xlsx
抖音-安踏儿童奥莱旗舰店,兴趣,映射.xlsx
抖音-安踏儿童深圳专卖店,兴趣,映射.xlsx
抖音-安踏儿童时尚旗舰店,兴趣,映射.xlsx
快手-安踏儿童亲子鞋旗舰店,兴趣,映射.xlsx
抖音-徐州文庙店,兴趣,映射.xlsx
抖音-安踏儿童青少年旗舰店,兴趣,映射.xlsx
杭州哈奴曼文化传播有限公司,经销,映射.xlsx
中山市佳维商贸有限公司,经销,映射.xlsx
杭州雀弥商贸有限公司,经销,映射.xlsx
厦门噜啡商贸有限公司-安踏成人,经销,映射.xlsx
福州瑞拓电子商务有限公司-安踏成人,经销,映射.xlsx
泉州潮越道贸易有限公司-安踏成人,经销,映射.xlsx
南京万千里贸易有限公司-安踏成人,经销,映射.xlsx
江门市羽宙商贸有限公司-安踏成人,经销,映射.xlsx
厦门安之城体育用品有限公司-安踏成人,经销,映射.xlsx
厦门番薯伽米商贸有限公司,经销,映射.xlsx
福建悠悠电子商务有限公司-安踏成人,经销,映射.xlsx
广州蔚亚贸易有限公司-安踏成人,经销,映射.xlsx
杭州山途体育文化传播有限公司,经销,映射.xlsx
广州八悦贸易有限公司,经销,映射.xlsx
厦门金挑客科技有限公司,经销,映射.xlsx
上海威斯迪宁电子商务有限公司,经销,映射.xlsx
宁波动能体育用品有限公司,经销,映射.xlsx
临沂驿程商贸有限公司,经销,映射.xlsx
上海极酷体育用品有限公司,经销,映射.xlsx
杭州单板滑雪电子商务有限公司,经销,映射.xlsx
抖音-超级安踏男装旗舰店,兴趣,映射.xlsx
郑州长跑时代体育发展有限公司-安踏成人,经销,映射.xlsx
微信视频号-安踏运动鞋服旗舰店,兴趣,映射.xlsx
快手-安踏运动内着专卖店,兴趣,映射.xlsx
电商团购-安踏成人,团购,映射.xlsx
得物直发-安踏贵州专卖店,得物,映射.xlsx
快手-安踏男士户外旗舰店,兴趣,映射.xlsx
得物直发-安踏西北专卖店,得物,映射.xlsx
得物直发-安踏广西专卖店,得物,映射.xlsx
泉州市海会电子商务有限公司,经销,映射.xlsx
微信视频号-ANTA安踏上海一号店,兴趣,映射.xlsx
快手-安踏广州男装专卖店,兴趣,映射.xlsx
快手-安踏男鞋专卖店,兴趣,映射.xlsx
快手-安踏东北旗舰店,兴趣,映射.xlsx
微信视频号-安踏川渝运动商城,兴趣,映射.xlsx
抖音-安踏山东运动装备店,兴趣,映射.xlsx
理赔客户-安踏成人,其他,映射.xlsx
快手-安踏西北专卖店,兴趣,映射.xlsx
微信视频号-安踏北京大兴龙湖店,兴趣,映射.xlsx
抖音-安踏云南专卖店,兴趣,映射.xlsx
山东鲁岳体育产业有限公司,经销,映射.xlsx
得物直发-安踏山西专卖店,得物,映射.xlsx
抖音-安踏川渝服运动鞋专卖店,兴趣,映射.xlsx
微信视频号-厦门中山路安踏旗舰店,兴趣,映射.xlsx
得物-安踏儿童直发店,得物,映射.xlsx
快手-安踏武汉专卖店,兴趣,映射.xlsx
抖音-超级安踏上海专卖店,兴趣,映射.xlsx
视频号-安踏北京万达专卖店,兴趣,映射.xlsx
快手-安踏黄浦专卖店,兴趣,映射.xlsx
微信视频号-安踏北京PALACE专卖店,兴趣,映射.xlsx
抖音-长沙IFS安踏冠军店,兴趣,映射.xlsx
天猫-安踏顶点专卖店（新）,兴趣,映射.xlsx
微信视频号-泉州钟楼安踏PALACE 旗舰店,兴趣,映射.xlsx
抖音-安踏儿童上海专卖店,兴趣,映射.xlsx
微信视频号-安踏川渝形象店,兴趣,映射.xlsx
微信视频号-安踏之家总部旗舰店,兴趣,映射.xlsx
微信视频号-安踏西北运动商城,兴趣,映射.xlsx
快手-安踏杭州专卖店,兴趣,映射.xlsx
微信视频号-安踏儿童童装童鞋旗舰店,兴趣,映射.xlsx
抖音-超级安踏白云专卖店,兴趣,映射.xlsx
抖音-安踏儿童重庆专卖店,兴趣,映射.xlsx
抖音-安踏荔湾专卖店,兴趣,映射.xlsx
抖音-芜湖弋江区银泰专卖店,兴趣,映射.xlsx
微信视频号-安踏儿童运动总店,兴趣,映射.xlsx
重庆品唯电子商务有限公司-安踏成人,经销,映射.xlsx
